request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Request 15,656,000.00 IDR; spendable balance after pending-debit reserve is 100,845,250.00 IDR. Conservative safe amount on request date is 15,656,000.00 IDR while keeping the required minimum of 24,768,300.00 IDR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: retirement_investment, emergency_savings."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Request 6,670.00 ZAR; spendable balance after pending-debit reserve is 93,141.80 ZAR. Conservative safe amount on request date is 6,670.00 ZAR while keeping the required minimum of 20,500.00 ZAR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: education, emergency_savings."
request_28,190.13999999999987,affordable_later,wait,2024-10-20:1302.4,2024-10-20,none,"Request 1,302.40 EUR; spendable balance after pending-debit reserve is 1,789.40 EUR. Conservative safe amount on request date is 190.14 EUR while keeping the required minimum of 1,100.00 EUR. One full payment becomes safe on 2024-10-20. Priorities retained: emergency_savings, housing."
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Request 51,524.00 ZAR; spendable balance after pending-debit reserve is 113,540.10 ZAR. Conservative safe amount on request date is 51,524.00 ZAR while keeping the required minimum of 28,300.00 ZAR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: education, family_support."
request_30,775.2,affordable_now,full_payment,2026-04-06:775.2,2026-04-06,none,"Request 775.20 USD; spendable balance after pending-debit reserve is 3,752.72 USD. Conservative safe amount on request date is 775.20 USD while keeping the required minimum of 900.00 USD. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: retirement_investment, emergency_savings."
request_31,2732930.0600000024,affordable_with_plan,full_payment,2024-10-15:18164000,2024-10-15,reduce_to:event_2830:323950,"Request 18,164,000.00 IDR; spendable balance after pending-debit reserve is 30,429,260.00 IDR. Conservative safe amount on request date is 2,732,930.06 IDR while keeping the required minimum of 16,588,900.00 IDR. Full payment is made safe by permitted changes to flexible recurring spending. Spending changes: reduce_to:event_2830:323950. Priorities retained: education, emergency_savings."
request_32,0.0,not_affordable,not_recommended,none,,none,"Request 40,018.00 ZAR; spendable balance after pending-debit reserve is 69,005.80 ZAR. Conservative safe amount on request date is 0.00 ZAR while keeping the required minimum of 35,700.00 ZAR. No safe completion plan using the permitted payment methods is available. Priorities retained: education, debt_repayment."
request_33,34513.45000000001,affordable_with_plan,full_payment,2026-02-15:118000,2026-02-15,stop:event_2966,"Request 118,000.00 INR; spendable balance after pending-debit reserve is 167,280.00 INR. Conservative safe amount on request date is 34,513.45 INR while keeping the required minimum of 102,100.00 INR. Full payment is made safe by permitted changes to flexible recurring spending. Spending changes: stop:event_2966. Priorities retained: emergency_savings, travel."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Request 129,400.00 INR; spendable balance after pending-debit reserve is 559,752.50 INR. Conservative safe amount on request date is 129,400.00 INR while keeping the required minimum of 138,500.00 INR. Full payment is safe now and the forecast stays above the minimum balance. Priorities retained: retirement_investment, emergency_savings."
request_35,22828.789999999964,affordable_later,wait,2026-03-15:212000,2026-03-15,none,"Request 212,000.00 INR; spendable balance after pending-debit reserve is 231,530.00 INR. Conservative safe amount on request date is 22,828.79 INR while keeping the required minimum of 106,400.00 INR. One full payment becomes safe on 2026-03-15. Priorities retained: education, debt_repayment."
